PERMNO,date,TICKER,PRC
18411,2011-01-31,SO,37.62000
18411,2011-02-28,SO,38.11000
18411,2011-03-31,SO,38.11000
18411,2011-04-29,SO,39.04000
18411,2011-05-31,SO,40.08000
18411,2011-06-30,SO,40.38000
18411,2011-07-29,SO,39.54000
18411,2011-08-31,SO,41.36000
18411,2011-09-30,SO,42.37000
18411,2011-10-31,SO,43.20000
18411,2011-11-30,SO,43.91000
18411,2011-12-30,SO,46.29000
18411,2012-01-31,SO,45.56000
18411,2012-02-29,SO,44.19000
18411,2012-03-30,SO,44.93000
18411,2012-04-30,SO,45.94000
18411,2012-05-31,SO,45.91000
18411,2012-06-29,SO,46.30000
18411,2012-07-31,SO,48.15000
18411,2012-08-31,SO,45.33000
18411,2012-09-28,SO,46.09000
18411,2012-10-31,SO,46.84000
18411,2012-11-30,SO,43.55000
18411,2012-12-31,SO,42.81000
18411,2013-01-31,SO,44.23000
18411,2013-02-28,SO,45.01000
18411,2013-03-28,SO,46.92000
18411,2013-04-30,SO,48.23000
18411,2013-05-31,SO,43.90000
18411,2013-06-28,SO,44.13000
18411,2013-07-31,SO,44.84000
18411,2013-08-30,SO,41.62000
18411,2013-09-30,SO,41.18000
18411,2013-10-31,SO,40.91000
18411,2013-11-29,SO,40.63000
18411,2013-12-31,SO,41.11000
18411,2014-01-31,SO,41.24000
18411,2014-02-28,SO,42.35000
18411,2014-03-31,SO,43.94000
18411,2014-04-30,SO,45.83000
18411,2014-05-30,SO,43.78000
18411,2014-06-30,SO,45.38000
18411,2014-07-31,SO,43.29000
18411,2014-08-29,SO,44.40000
18411,2014-09-30,SO,43.65000
18411,2014-10-31,SO,46.36000
18411,2014-11-28,SO,47.43000
18411,2014-12-31,SO,49.11000
18411,2015-01-30,SO,50.72000
18411,2015-02-27,SO,45.79000
18411,2015-03-31,SO,44.28000
18411,2015-04-30,SO,44.30000
18411,2015-05-29,SO,43.69000
18411,2015-06-30,SO,41.90000
18411,2015-07-31,SO,44.73000
18411,2015-08-31,SO,43.41000
18411,2015-09-30,SO,44.70000
18411,2015-10-30,SO,45.10000
18411,2015-11-30,SO,44.54000
18411,2015-12-31,SO,46.79000
18411,2016-01-29,SO,48.92000
18411,2016-02-29,SO,48.18000
18411,2016-03-31,SO,51.73000
18411,2016-04-29,SO,50.10000
18411,2016-05-31,SO,49.44000
18411,2016-06-30,SO,53.63000
18411,2016-07-29,SO,53.50000
18411,2016-08-31,SO,51.33000
18411,2016-09-30,SO,51.30000
18411,2016-10-31,SO,51.57000
18411,2016-11-30,SO,46.82000
18411,2016-12-30,SO,49.19000
18411,2017-01-31,SO,49.43000
18411,2017-02-28,SO,50.82000
18411,2017-03-31,SO,49.78000
18411,2017-04-28,SO,49.80000
18411,2017-05-31,SO,50.61000
18411,2017-06-30,SO,47.88000
18411,2017-07-31,SO,47.93000
18411,2017-08-31,SO,48.26000
18411,2017-09-29,SO,49.14000
18411,2017-10-31,SO,52.20000
18411,2017-11-30,SO,51.20000
18411,2017-12-29,SO,48.09000
18411,2018-01-31,SO,45.11000
18411,2018-02-28,SO,43.06000
18411,2018-03-29,SO,44.66000
18411,2018-04-30,SO,46.12000
18411,2018-05-31,SO,44.90000
18411,2018-06-29,SO,46.31000
18411,2018-07-31,SO,48.60000
18411,2018-08-31,SO,43.78000
18411,2018-09-28,SO,43.60000
18411,2018-10-31,SO,45.03000
18411,2018-11-30,SO,47.33000
18411,2018-12-31,SO,43.92000
18411,2019-01-31,SO,48.60000
18411,2019-02-28,SO,49.69000
18411,2019-03-29,SO,51.68000
18411,2019-04-30,SO,53.22000
18411,2019-05-31,SO,53.50000
18411,2019-06-28,SO,55.28000
18411,2019-07-31,SO,56.20000
18411,2019-08-30,SO,58.26000
18411,2019-09-30,SO,61.77000
18411,2019-10-31,SO,62.66000
18411,2019-11-29,SO,61.99000
18411,2019-12-31,SO,63.70000
18411,2020-01-31,SO,70.40000
